year,institution_id,n_works,n_authors
2014,1343035065,2722,3298
2014,1343052199,1533,2297
2014,1343180700,776,1029
2014,921990950,3817,4864
2014,4210150208,244,741
2014,1343028186,344,426
2014,4210150094,278,496
2014,4777552,4695,5364
2014,4210137306,845,1514
2014,4210137803,84,202
2014,107606265,819,1592
2014,4210088475,2381,2985
2014,919571938,1658,2385
2014,1342924430,114,205
2014,4210088045,1,1
2014,67328108,282,355
2014,4210088259,138,190
2014,107672454,1758,1933
2014,4210088792,663,1234
2014,1282516798,198,395
2014,1339509835,397,769
2014,1339417872,184,271
2014,1283055418,607,967
2014,926076166,663,1021
2014,1283103587,155,142
2014,1282927834,1443,2054
2014,1280536761,850,810
2014,923382979,300,477
2014,108785884,511,786
2014,922845939,604,1306
2014,108468826,344,378
2014,4210138500,21,28
2014,4210137750,177,287
2014,125687163,702,734
2014,1280414376,1053,908
2014,122266389,367,438
2014,55633929,336,378
2014,55732556,4321,4142
2014,55769427,3653,4495
2014,13511017,599,656
2014,55921689,109,238
2014,2799503643,1673,2874
2014,2799495847,4496,5056
2014,120506574,57,61
2014,4210085935,138,215
2014,3143470655,99,139
2014,1629065,473,522
2014,110383171,21,14
2014,4210133905,680,800
2014,107639228,2415,2683
2014,121847817,1055,1184
2014,121820613,2014,2284
2014,1280259254,134,189
2014,4210088488,227,345
2014,107341208,3244,3989
2014,1341618623,445,413
2014,4210137549,330,596
2014,4210137555,86,134
2014,121934306,2370,3066
2014,4210100294,130,219
2014,107766831,824,539
2014,4210100211,107,298
2014,122411786,4651,4941
2014,4210104314,150,183
2014,121980950,1284,1274
2014,1341412227,1094,1807
2014,19700959,1665,1725
2014,1281539108,514,622
2014,1283621791,382,723
2014,896114043,46,68
2014,4210101641,169,270
2014,4210087413,236,399
2014,4210150980,368,751
2014,4210087384,230,239
2014,4210087454,68,102
2014,4210136305,202,315
2014,62856769,252,496
2014,4210150894,200,235
2014,113508548,326,409
2014,61628605,222,302
2014,889937125,180,291
2014,893718555,77,152
2014,4210102181,173,291
2014,114395901,2300,2669
2014,114493937,425,583
2014,5716644,159,244
2014,4210102044,41,154
2014,4210102099,340,432
2014,4210151215,1661,1941
2014,4210101935,260,480
2014,106165777,1973,2038
2014,114027177,6678,8132
2014,4210135903,109,159
2014,114073160,395,465
2014,114662689,390,459
2014,2799343972,916,1265
2014,4210151386,528,998
2014,114832834,1608,1941
2014,888729015,292,299
2014,1281704429,227,337
2014,19772626,419,571
2014,66958751,661,514
2014,4210149743,189,314
2014,106745318,674,818
2014,4210138094,566,754
2014,1338503839,195,303
2014,4210099336,287,476
2014,1281378812,253,301
2014,4210088923,42,77
2014,1338449461,182,295
2014,1283280774,5598,7592
2014,4210138636,528,620
2014,1338124936,725,704
2014,103531236,1005,987
2014,4210149382,354,301
2014,1283654650,92,155
2014,4210138663,898,1147
2014,103635307,1998,2581
2014,66946132,5445,5495
2014,1340179700,994,1764
2014,106460735,92,158
2014,1282311441,1423,1664
2014,4210138309,275,439
2014,4210138311,1446,1699
2014,4210099595,398,446
2014,4210088741,560,977
2014,4210149717,757,1659
2014,4210165260,92,136
2014,106959904,382,411
2014,4210138024,287,326
2014,107077323,481,520
2014,106969075,321,370
2014,1280640908,210,221
2014,4210088555,276,462
2014,1282105669,2302,2203
2014,3132238960,77,671
2014,4210132746,267,313
2014,1304256225,9724,12016
2014,1304269903,393,798
2014,4210146710,1430,2286
2014,76835614,2733,3143
2014,1304082316,740,1096
2014,1324520350,216,245
2014,1305001552,68,115
2014,1304808963,249,240
2014,1324220072,245,468
2014,4210095140,355,480
2014,78577930,7782,8666
2014,4210091812,814,2078
2014,4210091810,234,367
2014,4210091794,202,353
2014,1304196042,367,761
2014,4210143137,243,365
2014,59130452,1170,1816
2014,118353179,923,985
2014,4210152133,10,10
2014,5388228,3295,4423
2014,1307098950,269,409
2014,4210134534,861,1387
2014,58610484,1145,1707
2014,4210094981,18,46
2014,1323778983,241,449
2014,4210094901,505,679
2014,4210091634,3,5
2014,4210094889,447,486
2014,368840534,1037,1275
2014,4210134769,1719,2738
2014,1307117695,205,411
2014,1308126019,1598,1907
2014,4210142393,40,54
2014,75929689,644,963
2014,1299907687,107,194
