institution_id,institution_name,country_name,latitude,longitude,research_level
392282,"University at Albany, State University of New York (US)",United States,42.65258,-73.75623,R1
430192,Appalachian State University (US),United States,36.21679,-81.67455,R2
430641,United States Air Force Academy (US),United States,38.83388,-104.82136,
592451,Indiana University (US),United States,39.16533,-86.52639,
1174212,University of Southern California (US),United States,34.05223,-118.24368,R1
1629065,Central Michigan University (US),United States,43.59781,-84.76751,R2
1743320,Palo Alto University (US),United States,37.44188,-122.14302,
1925986,Loyola University Chicago (US),United States,41.85003,-87.65005,R1
2613432,University of South Florida (US),United States,27.94752,-82.45843,R1
4179309,Park University (US),United States,39.195,-94.68218,
4322298,Towson University (US),United States,39.4015,-76.60191,D/PU
4777552,University of Missouri System (US),United States,38.95171,-92.33407,
5388228,University of Rochester (US),United States,43.15478,-77.61556,R1
5716644,Carilion Clinic (US),United States,37.27097,-79.94143,
6059380,University of Baltimore (US),United States,39.29038,-76.61219,D/PU
6332465,Morehouse School of Medicine (US),United States,33.749,-84.38798,D/PU
6750721,University of Montana (US),United States,46.87215,-113.994,R1
6902469,Brandeis University (US),United States,42.37649,-71.23561,R1
7863295,Villanova University (US),United States,40.04622,-75.35991,R2
7947594,University of Maine (US),United States,44.88312,-68.67198,R1
8078737,Clemson University (US),United States,34.68344,-82.83737,R1
8248082,Florida Agricultural and Mechanical University (US),United States,30.43826,-84.28073,R2
8606887,Grand Valley State University (US),United States,42.97225,-85.95365,D/PU
8692664,University of Oklahoma (US),United States,35.22257,-97.43948,R1
10052268,New Mexico State University (US),United States,32.31232,-106.77834,R1
11874761,University of North Florida (US),United States,30.33218,-81.65565,R2
11883440,James Madison University (US),United States,38.44957,-78.86892,R2
11957088,Michigan Technological University (US),United States,47.12187,-88.56901,R1
12057038,University of Toledo Medical Center (US),United States,41.66394,-83.55521,
12097938,West Virginia University (US),United States,39.62953,-79.9559,R1
12315562,Texas Tech University (US),United States,33.57786,-101.85517,R1
12834331,University of Wyoming (US),United States,41.31137,-105.5911,R1
12912129,Northeastern University (US),United States,42.35843,-71.05977,R1
13511017,Texas State University (US),United States,29.88327,-97.94139,R2
14285509,University of Maryland Medical System (US),United States,39.29038,-76.61219,
16269868,Santa Clara University (US),United States,37.35411,-121.95524,D/PU
16285277,William & Mary (US),United States,37.2707,-76.70746,R1
16452829,The University of Texas System (US),United States,30.26715,-97.74306,
16820183,Illinois College (US),United States,39.73394,-90.22901,
16944753,Clarkson University (US),United States,44.66978,-74.98131,R2
17301866,University of Alabama (US),United States,33.20984,-87.56917,R1
17626003,University of Rhode Island (US),United States,41.48038,-71.52256,R1
18241798,Lake Erie College of Osteopathic Medicine (US),United States,42.12922,-80.08506,
19085752,National Center for Immunization and Respiratory Diseases (US),United States,33.749,-84.38798,
19648265,Wright State University (US),United States,39.75895,-84.19161,R2
19700959,Florida International University (US),United States,25.77427,-80.19366,R1
19772626,Yeshiva University (US),United States,40.71427,-74.00597,R2
20089843,Princeton University (US),United States,40.34872,-74.65905,R1
20382870,Missouri University of Science and Technology (US),United States,37.95143,-91.77127,R1
20388574,SUNY Upstate Medical University (US),United States,43.04812,-76.14742,R2
22433950,Altera (United States) (US),United States,37.33939,-121.89496,
23732399,Montana State University (US),United States,45.67965,-111.03856,R1
24571045,University of North Dakota (US),United States,47.92526,-97.03285,R1
24603500,University of Massachusetts Amherst (US),United States,42.37537,-72.51925,R1
25041050,Augusta University (US),United States,33.47097,-81.97484,R2
25790992,Cardiovascular Institute of the South (US),United States,29.59577,-90.71953,
26347476,Loma Linda University (US),United States,34.04835,-117.26115,R2
26538001,San Diego State University (US),United States,32.71571,-117.16472,R1
27804330,Brown University (US),United States,41.82399,-71.41283,R1
27825529,California State University Los Angeles (US),United States,34.05223,-118.24368,R2
27837315,University of Michigan–Ann Arbor (US),United States,42.27756,-83.74088,R1
28792581,University of Rochester Medical Center (US),United States,43.15478,-77.61556,
29236304,Advisory Board Company (United States) (US),United States,38.89511,-77.03637,
29606459,University of Mississippi Medical Center (US),United States,32.29876,-90.18481,
29801172,Thomas Jefferson National Accelerator Facility (US),United States,36.98038,-76.42975,
29957033,Pennsylvania State System of Higher Education (US),United States,40.2737,-76.88442,
32389192,University of Alabama at Birmingham (US),United States,33.52066,-86.80249,R1
32971472,Yale University (US),United States,41.30815,-72.92816,R1
33086117,New York Psychoanalytic Society and Institute (US),United States,40.71427,-74.00597,
33213144,University of Florida (US),United States,29.65163,-82.32483,R1
33434090,University of Massachusetts Boston (US),United States,42.35843,-71.05977,R1
35566140,Loyola Marymount University (US),United States,34.05223,-118.24368,R2
35662394,GlobalFoundries (United States) (US),United States,37.35411,-121.95524,
35777872,North Carolina Agricultural and Technical State University (US),United States,36.07264,-79.79198,R2
36258959,"University of California, San Diego (US)",United States,32.71571,-117.16472,R1
36373038,Cleveland Clinic Lerner College of Medicine (US),United States,41.4995,-81.69541,
36788626,California University of Pennsylvania (US),United States,40.06563,-79.89171,
36819085,Northwest University (US),United States,47.68149,-122.20874,
38260057,In-Q-Tel (US),United States,38.88101,-77.10428,
39422238,University of Illinois Chicago (US),United States,41.85003,-87.65005,R1
39565521,Office of Science (US),United States,38.89511,-77.03637,
39587148,Wichita State University (US),United States,37.69224,-97.33754,R2
39694355,Hunter College (US),United States,40.71427,-74.00597,R2
39815113,Georgia Southern University (US),United States,32.44879,-81.78317,R2
39965400,Kettering University (US),United States,43.01253,-83.68746,
40253897,University of New Haven (US),United States,41.27065,-72.94705,D/PU
40347166,University of Chicago (US),United States,41.85003,-87.65005,R1
43522216,"California State University, Sacramento (US)",United States,38.58157,-121.4944,R2
43579087,University of Wisconsin–Milwaukee (US),United States,43.0389,-87.90647,R1
