institution_id,child,child_name
592451,4210093298,Indiana University Northwest (US)
592451,4210117780,Indiana University Southeast (US)
592451,4210119109,Indiana University Bloomington (US)
592451,4210134870,Indiana University South Bend (US)
592451,4210135278,Indiana University East (US)
592451,4210136381,Indiana University Kokomo (US)
592451,4210161414,Indiana University Fort Wayne (US)
592451,4388446366,Indiana University Indianapolis
592451,4390039234,Indiana University Melvin and Bren Simon Comprehensive Cancer Center
592451,4394709130,Indiana University School of Medicine
1174212,4388482679,USC Institute for Creative Technologies
4777552,20382870,Missouri University of Science and Technology (US)
4777552,75421653,University of Missouri–Kansas City (US)
4777552,76835614,University of Missouri (US)
4777552,208333798,University of Missouri–St. Louis (US)
5388228,28792581,University of Rochester Medical Center (US)
5388228,4210122714,Golisano Children's Hospital (US)
5716644,2800553677,Carilion Roanoke Memorial Hospital (US)
8248082,1323276237,Florida A&M University - Florida State University College of Engineering (US)
10052268,2800795933,New Mexico State University Carlsbad (US)
10052268,2801795519,New Mexico State University Alamogordo (US)
12097938,4210089362,Blanchette Rockefeller Neurosciences Institute (US)
12912129,91481961,Mills College (US)
12912129,2800917498,Northeastern University London (GB)
12912129,4210145836,Center for Theoretical Biological Physics (US)
12912129,4210160315,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions (US)
14285509,1315496137,University of Maryland Medical Center (US)
14285509,4210132871,University of Maryland Medical Center Midtown Campus (US)
14285509,4210156274,St. Joseph Medical Center (US)
14285509,4390039317,University of Maryland Marlene and Stewart Greenebaum Comprehensive Cancer Center
16452829,45438204,The University of Texas at San Antonio (US)
16452829,55302922,The University of Texas Medical Branch at Galveston (US)
16452829,86519309,The University of Texas at Austin (US)
16452829,90436673,The University of Texas Health Science Center at Tyler (US)
16452829,114580094,The University of Texas of the Permian Basin (US)
16452829,162577319,The University of Texas at Dallas (US)
16452829,164936912,The University of Texas at El Paso (US)
16452829,165951966,The University of Texas Health Science Center at San Antonio (US)
16452829,189196454,The University of Texas at Arlington (US)
16452829,201193091,Stephen F. Austin State University (US)
16452829,221716585,The University of Texas at Tyler (US)
16452829,867280407,The University of Texas Southwestern Medical Center (US)
16452829,919571938,The University of Texas Health Science Center at Houston (US)
16452829,1343551460,The University of Texas MD Anderson Cancer Center (US)
16452829,2802326326,The University of Texas Rio Grande Valley (US)
16944753,889948113,Union Graduate College (US)
20089843,2799411422,Center for Discrete Mathematics and Theoretical Computer Science (US)
20089843,2799567181,Princeton Plasma Physics Laboratory (US)
23732399,4210110420,Museum of the Rockies (US)
27837315,4387153798,University of Michigan Press
27837315,4387930282,University of Michigan Biological Station
28792581,1342728388,Strong Memorial Hospital (US)
28792581,4210098367,Highland Hospital (US)
28792581,4210122714,Golisano Children's Hospital (US)
29801172,4390039233,Continuous Electron Beam Accelerator Facility
29957033,2132711,Kutztown University (US)
29957033,36788626,California University of Pennsylvania (US)
29957033,63329203,Lock Haven University (US)
29957033,79060951,East Stroudsburg University (US)
29957033,104651037,Millersville University (US)
29957033,131579929,Mansfield University (US)
29957033,139418187,Shippensburg University (US)
29957033,161171246,West Chester University (US)
29957033,169494899,Slippery Rock University (US)
29957033,190816365,Bloomsburg University (US)
29957033,200885203,Indiana University of Pennsylvania (US)
32971472,4387153325,Yale Peabody Museum
33213144,1313142568,Florida Museum of Natural History (US)
33213144,4210112726,Florida Medical Entomology Laboratory (US)
33213144,4210114902,Florida Sea Grant (US)
33213144,4210132808,National High Magnetic Field Laboratory (US)
33213144,4387156289,The Herbert Wertheim UF Scripps Institute for Biomedical Innovation & Technology
35662394,4210136567,GlobalFoundries (Singapore) (SG)
35662394,4210142027,GlobalFoundries (Germany) (DE)
36258959,150209017,Scripps Institution of Oceanography (US)
36258959,181653535,San Diego Supercomputer Center (US)
36258959,4210136348,California Sea Grant (US)
39422238,2800461586,Illinois Indiana Sea Grant (US)
39422238,4210110323,"University of Illinois Chicago, Rockford campus (US)"
39422238,4210130227,Peoria campus of the University of Illinois System (US)
39565521,29801172,Thomas Jefferson National Accelerator Facility (US)
39565521,142606810,Pacific Northwest National Laboratory (US)
39565521,148283060,Lawrence Berkeley National Laboratory (US)
39565521,200870766,Brookhaven National Laboratory (US)
39565521,1282105669,Argonne National Laboratory (US)
39565521,1289243028,Oak Ridge National Laboratory (US)
39565521,1314696892,Fermi National Accelerator Laboratory (US)
39565521,2799567181,Princeton Plasma Physics Laboratory (US)
39565521,2801935854,SLAC National Accelerator Laboratory (US)
39565521,2802789608,Ames National Laboratory (US)
39565521,4210158778,Office of Basic Energy Sciences (US)
39565521,4387153336,Facility for Rare Isotope Beams
40347166,1282105669,Argonne National Laboratory (US)
40347166,4210119687,Evanston Hospital (US)
44265643,4210089330,Cooper Medical School of Rowan University (US)
44461941,4210145836,Center for Theoretical Biological Physics (US)
47251452,1282516798,Atrium Health Wake Forest Baptist (US)
47251452,4210104154,Virginia Tech - Wake Forest University School of Biomedical Engineering & Sciences (US)
48633490,1283280774,Brigham and Women's Hospital (US)
48633490,2799748957,Spaulding Rehabilitation Hospital (US)
48633490,4210087915,Massachusetts General Hospital (US)
52357470,2800773976,The Ohio State University at Mansfield (US)
52357470,2801551205,The Ohio State University at Marion (US)
52357470,2801706460,The Ohio State University at Lima (US)
52357470,4210107394,The Ohio State University Newark (US)
54713919,75747061,Commonwealth Medical College (US)
54713919,1293487830,Geisinger Medical Center (US)
54713919,4210098008,Autism & Developmental Medicine Institute (US)
54713919,4210153925,Geisinger Wyoming Valley Medical Center (US)
54713919,4210160773,Geisinger Neuroscience Institute (US)
55633929,1334329717,World Bank (US)
57053284,4210127883,Rockwell Automation (Canada) (CA)
57206974,36672615,Courant Institute of Mathematical Sciences (US)
57206974,120250893,New York University Abu Dhabi (AE)
57206974,258800397,New York University Shanghai (CN)
57206974,2799442855,New York University Press (US)
57206974,4210123063,New York University Florence (IT)
58956616,4390039247,Case Comprehensive Cancer Center
63772739,734295,Harbor Branch Oceanographic Institute (US)
63966007,144112489,McGovern Institute for Brain Research (US)
63966007,2802422659,"Ragon Institute of MGH, MIT and Harvard (US)"
63966007,4210109539,Institute for Soldier Nanotechnologies (US)
63966007,4210122954,MIT Lincoln Laboratory (US)
63966007,4210125891,MIT Sea Grant (US)
63966007,4210127055,Athinoula A. Martinos Center for Biomedical Imaging (US)
63966007,4210157710,Whitehead Institute for Biomedical Research (US)
63966007,4210159271,MIT-Harvard Center for Ultracold Atoms (US)
63966007,4210160315,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions (US)
63966007,4390039253,Koch Institute for Integrative Cancer Research At MIT
66946132,39822340,Virginia–Maryland College of Veterinary Medicine (US)
66946132,112475681,Joint Global Change Research Institute (US)
66946132,4210108409,Joint Center for Quantum Information and Computer Science (US)
66946132,4210144776,Earth System Science Interdisciplinary Center (US)
