topic_id,topic_name,field_name,field_id_scaled,domain_id,domain_name,domain_id_scaled
10367,Agricultural Innovations and Practices,Agricultural and Biological Sciences,0,1,Life Sciences,0
11862,"Agriculture, Land Use, Rural Development",Agricultural and Biological Sciences,0,1,Life Sciences,0
12033,Agricultural Economics and Policy,Agricultural and Biological Sciences,0,1,Life Sciences,0
12098,Rural development and sustainability,Agricultural and Biological Sciences,0,1,Life Sciences,0
12904,Diverse Educational Innovations Studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
13010,Agriculture and Agroindustry Studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
13011,Latin American rural development,Agricultural and Biological Sciences,0,1,Life Sciences,0
13054,Agricultural and Financial Auditing,Agricultural and Biological Sciences,0,1,Life Sciences,0
13240,Bioeconomy and Sustainability Development,Agricultural and Biological Sciences,0,1,Life Sciences,0
13288,"Banking, Crisis Management, COVID-19 Impact",Agricultural and Biological Sciences,0,1,Life Sciences,0
13468,Educational Research and Science Teaching,Agricultural and Biological Sciences,0,1,Life Sciences,0
13478,Agricultural Development and Management,Agricultural and Biological Sciences,0,1,Life Sciences,0
13508,Agricultural Economics and Practices,Agricultural and Biological Sciences,0,1,Life Sciences,0
13630,Agriculture Market Analysis Ukraine,Agricultural and Biological Sciences,0,1,Life Sciences,0
13678,Agricultural Research and Practices,Agricultural and Biological Sciences,0,1,Life Sciences,0
13838,Plant and soil sciences,Agricultural and Biological Sciences,0,1,Life Sciences,0
14018,Agriculture and Biological Studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
14269,Food Security and Socioeconomic Dynamics,Agricultural and Biological Sciences,0,1,Life Sciences,0
14405,Fisheries and Aquaculture Studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
14505,Natural Products and Applications,Agricultural and Biological Sciences,0,1,Life Sciences,0
10098,Ruminant Nutrition and Digestive Physiology,Agricultural and Biological Sciences,0,1,Life Sciences,0
10584,Reproductive Physiology in Livestock,Agricultural and Biological Sciences,0,1,Life Sciences,0
11226,Milk Quality and Mastitis in Dairy Cows,Agricultural and Biological Sciences,0,1,Life Sciences,0
11560,Animal Disease Management and Epidemiology,Agricultural and Biological Sciences,0,1,Life Sciences,0
12003,Bioenergy crop production and management,Agricultural and Biological Sciences,0,1,Life Sciences,0
12310,Crop Yield and Soil Fertility,Agricultural and Biological Sciences,0,1,Life Sciences,0
12436,Agronomic Practices and Intercropping Systems,Agricultural and Biological Sciences,0,1,Life Sciences,0
13358,Livestock Management and Performance Improvement,Agricultural and Biological Sciences,0,1,Life Sciences,0
13378,Agricultural Development and Policies,Agricultural and Biological Sciences,0,1,Life Sciences,0
13628,Agricultural Productivity and Crop Improvement,Agricultural and Biological Sciences,0,1,Life Sciences,0
14499,Livestock Farming and Management,Agricultural and Biological Sciences,0,1,Life Sciences,0
10152,Animal Nutrition and Physiology,Agricultural and Biological Sciences,0,1,Life Sciences,0
10333,Meat and Animal Product Quality,Agricultural and Biological Sciences,0,1,Life Sciences,0
11495,Animal Virus Infections Studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
12365,Effects of Environmental Stressors on Livestock,Agricultural and Biological Sciences,0,1,Life Sciences,0
12674,"Rabbits: Nutrition, Reproduction, Health",Agricultural and Biological Sciences,0,1,Life Sciences,0
12691,Coccidia and coccidiosis research,Agricultural and Biological Sciences,0,1,Life Sciences,0
13294,Livestock and Poultry Management,Agricultural and Biological Sciences,0,1,Life Sciences,0
13338,Pharmacological Effects and Assays,Agricultural and Biological Sciences,0,1,Life Sciences,0
10450,Aquaculture Nutrition and Growth,Agricultural and Biological Sciences,0,1,Life Sciences,0
11390,Seaweed-derived Bioactive Compounds,Agricultural and Biological Sciences,0,1,Life Sciences,0
12319,Fish Biology and Ecology Studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
12710,Engineering and Agricultural Innovations,Agricultural and Biological Sciences,0,1,Life Sciences,0
12841,Echinoderm biology and ecology,Agricultural and Biological Sciences,0,1,Life Sciences,0
13391,Innovations in Aquaponics and Hydroponics Systems,Agricultural and Biological Sciences,0,1,Life Sciences,0
13892,Aquatic life and conservation,Agricultural and Biological Sciences,0,1,Life Sciences,0
10174,Animal Behavior and Reproduction,Agricultural and Biological Sciences,0,1,Life Sciences,0
10385,Plant Diversity and Evolution,Agricultural and Biological Sciences,0,1,Life Sciences,0
10439,Climate change impacts on agriculture,Agricultural and Biological Sciences,0,1,Life Sciences,0
10487,Plant and animal studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
11228,Bat Biology and Ecology Studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
11494,Coleoptera Taxonomy and Distribution,Agricultural and Biological Sciences,0,1,Life Sciences,0
11528,Lichen and fungal ecology,Agricultural and Biological Sciences,0,1,Life Sciences,0
11836,Bryophyte Studies and Records,Agricultural and Biological Sciences,0,1,Life Sciences,0
11900,Fungal Plant Pathogen Control,Agricultural and Biological Sciences,0,1,Life Sciences,0
12001,Fossil Insects in Amber,Agricultural and Biological Sciences,0,1,Life Sciences,0
12132,Hymenoptera taxonomy and phylogeny,Agricultural and Biological Sciences,0,1,Life Sciences,0
12329,Hemiptera Insect Studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
12359,Fern and Epiphyte Biology,Agricultural and Biological Sciences,0,1,Life Sciences,0
12361,Study of Mite Species,Agricultural and Biological Sciences,0,1,Life Sciences,0
12568,Plant Taxonomy and Phylogenetics,Agricultural and Biological Sciences,0,1,Life Sciences,0
12596,Cephalopods and Marine Biology,Agricultural and Biological Sciences,0,1,Life Sciences,0
12606,Diptera species taxonomy and behavior,Agricultural and Biological Sciences,0,1,Life Sciences,0
12733,Vector-Borne Animal Diseases,Agricultural and Biological Sciences,0,1,Life Sciences,0
12832,Biocrusts and Microbial Ecology,Agricultural and Biological Sciences,0,1,Life Sciences,0
12934,Plant and fungal interactions,Agricultural and Biological Sciences,0,1,Life Sciences,0
13168,Plant Ecology and Taxonomy Studies,Agricultural and Biological Sciences,0,1,Life Sciences,0
13269,Orthoptera Research and Taxonomy,Agricultural and Biological Sciences,0,1,Life Sciences,0
13396,Agriculture and Rural Development Research,Agricultural and Biological Sciences,0,1,Life Sciences,0
13506,Botanical Research and Chemistry,Agricultural and Biological Sciences,0,1,Life Sciences,0
13679,Tardigrade Biology and Ecology,Agricultural and Biological Sciences,0,1,Life Sciences,0
